ASV	phylum	class	order	family	genus	purported_species	bin
ASV94	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	intestini	Acidaminococcus
ASV95	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Intestinibacter	bartlettii	Intestinibacter
ASV97	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-56	NA	CAG-56
ASV98	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii	Faecalibacterium
ASV99	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	pectinoschiza	Lachnospira
ASV100	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	UCG-005
ASV101	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV102	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	edouardi	Lachnoclostridium
ASV103	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	NA	Ruminococcus
ASV104	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-003	NA	UCG-003
ASV105	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV106	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Eubacterium	NA	Eubacterium
ASV107	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus	Bacteroides
ASV108	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV109	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Megamonas	funiformis	Megamonas
ASV110	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	NA	Lachnospiraceae
ASV111	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA	Oscillibacter
ASV112	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA	Blautia
ASV113	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	NA	Veillonella
ASV116	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	eutactus	Coprococcus
ASV118	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	finegoldii	Bacteroides
ASV120	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	NA	Dialister
ASV121	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	NA	Holdemanella
ASV122	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	distasonis	Parabacteroides
ASV123	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	Prevotella
ASV124	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
ASV127	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	distasonis	Parabacteroides
ASV128	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	NA	Veillonella
ASV129	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV130	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	NA	Subdoligranulum
ASV131	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	splanchnicus	Odoribacter
ASV132	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	mitsuokai	Catenibacterium
ASV133	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA	Muribaculaceae
ASV134	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	distasonis	Parabacteroides
ASV135	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	coprocola	Bacteroides
ASV136	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	inops	Alistipes
ASV137	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	plautii	Flavonifractor
ASV138	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV139	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	NA	Haemophilus
ASV140	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	UCG-005
ASV141	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	Prevotella
ASV142	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	plebeius	Bacteroides
ASV143	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus	Bacteroides
ASV144	Firmicutes	Clostridia	Oscillospirales	Eubacterium	NA	NA	Eubacterium
ASV145	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera	NA	Megasphaera
ASV146	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV147	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	Lachnoclostridium
ASV148	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	bifidum	Bifidobacterium
ASV149	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA	UCG-002
ASV150	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae	NA	Christensenellaceae
ASV151	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	johnsonii	Parabacteroides
ASV152	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	shahii	Alistipes
ASV153	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	stercoris	Blautia
ASV154	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA	Prevotellaceae
ASV155	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	NA	Lachnospiraceae
ASV156	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	NA	Barnesiella
ASV157	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	callidus	Ruminococcus
ASV159	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA	Coprococcus
ASV160	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ovatus	Bacteroides
ASV161	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	NA	Phascolarctobacterium
ASV162	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	NA	NA	Christensenellaceae
ASV163	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	NA	Ruminococcus
ASV164	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	Tyzzerella
ASV165	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	eggerthii	Bacteroides
ASV166	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA	Ruminococcus
ASV167	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	finegoldii	Alistipes
ASV168	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV169	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA	Ruminococcus
ASV172	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	NA	Dialister
ASV174	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	obesi	Alistipes
ASV175	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	Lachnoclostridium
ASV176	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	hominis	Roseburia
ASV177	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	NA	Barnesiella
ASV179	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	NA	Lachnospiraceae
ASV180	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
ASV181	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	NA	Butyricicoccus
ASV182	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	Enterobacteriaceae
ASV183	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV184	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	NA	Barnesiella
ASV185	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	NA	Intestinimonas
ASV186	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	NA	Lachnospira
ASV188	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
ASV189	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Eubacterium	NA	Eubacterium
ASV190	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
ASV191	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV193	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	UCG-005
ASV194	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	catus	Coprococcus
ASV197	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	UBA1819	NA	UBA1819
ASV198	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Mitsuokella	jalaludinii	Mitsuokella
ASV199	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV200	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV201	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	NA	Veillonella
ASV202	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	NA	Sutterella
ASV203	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA	Blautia
ASV205	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	distasonis	Parabacteroides
ASV208	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	NA	Paraprevotella
ASV210	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	faecihominis	Butyricicoccus
ASV211	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	eutactus	Coprococcus
ASV212	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	Lachnoclostridium
ASV213	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	Streptococcus
ASV214	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA	UCG-002
ASV215	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV216	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA	Ruminococcus
ASV218	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	CAG-352	NA	CAG-352
ASV220	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	biformis	Holdemanella
ASV221	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	NA	Colidextribacter
ASV225	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
ASV228	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	NA	Paraprevotella
ASV229	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	intestinihominis	Barnesiella
ASV231	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV232	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	NA	Lachnospiraceae
ASV236	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	UCG-005
ASV237	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	Bacteroides
ASV238	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Terrisporobacter	mayombei	Terrisporobacter
ASV240	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-003	NA	UCG-003
ASV241	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	sanguinis	Turicibacter
ASV242	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV246	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	NA	Lachnospiraceae
ASV247	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV248	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV250	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA	Faecalibacterium
ASV251	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV252	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	NA	Butyricicoccus
ASV253	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae	NA	Christensenellaceae
ASV254	Firmicutes	Clostridia	Oscillospirales	Eubacterium	NA	NA	Eubacterium
ASV256	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	champanellensis	Ruminococcus
ASV257	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV260	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	NA	Ruminococcus
ASV261	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	clarus	Bacteroides
ASV263	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	ramosum	Erysipelatoclostridium
ASV264	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	NA	NA	Barnesiellaceae
ASV266	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA	UCG-002
ASV269	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV272	Firmicutes	Clostridia	Oscillospirales	Eubacterium	NA	NA	Eubacterium
ASV273	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV277	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	Desulfovibrio
ASV278	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	NA	Eggerthellaceae
ASV279	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tuzzerella	NA	Tuzzerella
ASV280	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV281	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	fastidiosus	Coprobacter
ASV282	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	NA	Colidextribacter
ASV283	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	Anaeroplasma	NA	Anaeroplasma
ASV284	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	NA	Paraprevotella
ASV287	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	ihumii	Alistipes
ASV290	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA	Faecalibacterium
ASV292	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	intestinihominis	Barnesiella
ASV294	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	intestinalis	Bacteroides
ASV295	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	NA	Negativibacillus
ASV297	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	Bifidobacterium
ASV298	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	stercoricanis	Sutterella
ASV305	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia	NA	Marvinbryantia
ASV308	Firmicutes	Clostridia	Oscillospirales	Eubacterium	NA	NA	Eubacterium
ASV310	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA	Blautia
ASV311	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA	Prevotellaceae
ASV312	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	Bifidobacterium
ASV316	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	massiliensis	Alistipes
ASV317	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	intestinalis	Sellimonas
ASV318	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV320	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV322	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	NA	Hungatella
ASV325	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	Clostridium
ASV327	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV328	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV329	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV330	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV331	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Clostridium	NA	Clostridium
ASV332	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA	UCG-002
ASV335	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia	NA	Marvinbryantia
ASV336	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV337	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA	Faecalibacterium
ASV338	Firmicutes	Clostridia	Oscillospirales	Eubacterium	NA	NA	Eubacterium
ASV339	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV340	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA	Faecalibacterium
ASV341	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	lenta	Eggerthella
ASV342	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	NA	Colidextribacter
ASV345	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	NA	Intestinimonas
ASV349	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	glucerasea	Blautia
ASV350	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	salyersiae	Bacteroides
ASV351	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	NA	Colidextribacter
ASV352	Firmicutes	Clostridia	Oscillospirales	Eubacterium	NA	NA	Eubacterium
ASV355	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	Desulfovibrio
ASV365	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA	Oscillibacter
ASV366	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	equolifaciens	Adlercreutzia
ASV368	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
ASV371	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV372	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	Lachnoclostridium
ASV373	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	salyersiae	Bacteroides
ASV374	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	sanguinis	Turicibacter
ASV377	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospira	NA	Oscillospira
ASV378	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA	Lactococcus
ASV386	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family_XIII	NA	Family_XIII
ASV389	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA	Enterococcus
ASV390	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	Lachnoclostridium
ASV391	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	Lactobacillus
ASV394	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
