ASV	phylum	class	order	family	genus	purported_species	bin
ASV517	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	NA	Dialister
ASV520	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV524	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	bacterium	Lachnospiraceae
ASV527	Firmicutes	Clostridia	Oscillospirales	Eubacterium	NA	NA	Eubacterium
ASV529	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family_XIII	NA	Family_XIII
ASV530	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	NA	Subdoligranulum
ASV532	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	NA	Sutterella
ASV534	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV537	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA	Blautia
ASV539	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	NA	Latilactobacillus
ASV544	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia	NA	Marvinbryantia
ASV545	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae	NA	Christensenellaceae
ASV549	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV551	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	Alistipes
ASV552	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA	Faecalibacterium
ASV556	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV560	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	virosa	Butyricimonas
ASV562	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae	NA	Christensenellaceae
ASV566	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
ASV568	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	disporicum	Clostridium
ASV574	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	NA	Colidextribacter
ASV577	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	NA	Escherichia-Shigella
ASV578	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV587	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	NA	Lachnospiraceae
ASV598	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	odontolyticus	Actinomyces
ASV603	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	Alistipes
ASV605	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	NA	Butyricimonas
ASV612	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066575	NA	GCA-900066575
ASV615	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV617	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV626	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	massiliensis	Colidextribacter
ASV627	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium	NA	Mogibacterium
ASV630	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV633	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family_XIII	NA	Family_XIII
ASV634	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	NA	Faecalitalea
ASV639	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-003	NA	UCG-003
ASV650	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	UCG-005
ASV657	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV659	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA	Oscillibacter
ASV670	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Frisingicoccus	NA	Frisingicoccus
ASV674	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family_XIII	NA	Family_XIII
ASV676	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	secundus	Coprobacter
ASV686	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	NA	NA	Erysipelotrichaceae
ASV687	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	NA	NA	Tannerellaceae
ASV707	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	NA	NA	Desulfovibrionaceae
ASV716	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family_XIII	NA	Family_XIII
ASV721	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae	NA	Christensenellaceae
ASV727	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	massiliensis	Intestinimonas
ASV732	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospira	NA	Oscillospira
ASV735	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family_XIII	NA	Family_XIII
ASV740	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Coprobacillus	cateniformis	Coprobacillus
ASV744	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA	UCG-010
ASV745	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	NA	Flavonifractor
ASV749	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA	Comamonadaceae
ASV752	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA	UCG-010
ASV754	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV756	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae	NA	Christensenellaceae
ASV758	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV759	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	butyriciproducens	Intestinimonas
